liga,mejor_posicionado,diferencia_posiciones,n_partidos,seleccion,cuota_promedio,acierto_pct,roi_pct
T1,local,1-5,288,home,2.01,51.7,-0.03
T1,local,1-5,288,draw,3.77,25.0,-7.88
T1,local,1-5,288,away,4.06,23.3,-14.7
T1,local,11-15,115,home,1.54,70.4,5.52
T1,local,11-15,115,draw,4.86,21.7,-2.88
T1,local,11-15,115,away,7.1,7.8,-39.92
T1,local,16+,19,home,1.29,94.7,23.11
T1,local,16+,19,draw,6.92,5.3,-65.37
T1,local,16+,19,away,12.28,0.0,-100.0
T1,local,6-10,161,home,1.76,60.2,3.18
T1,local,6-10,161,draw,4.15,19.3,-26.68
T1,local,6-10,161,away,5.19,20.5,-11.07
T1,visita,1-5,307,home,2.55,42.7,-1.51
T1,visita,1-5,307,draw,3.54,26.7,-6.07
T1,visita,1-5,307,away,2.96,30.6,-22.43
T1,visita,11-15,109,home,4.18,27.5,-12.18
T1,visita,11-15,109,draw,3.84,19.3,-29.18
T1,visita,11-15,109,away,2.08,53.2,0.4
T1,visita,16+,18,home,6.97,22.2,17.72
T1,visita,16+,18,draw,4.93,5.6,-66.72
T1,visita,16+,18,away,1.56,72.2,9.17
T1,visita,6-10,197,home,3.13,33.5,-14.84
T1,visita,6-10,197,draw,3.63,27.9,-0.08
T1,visita,6-10,197,away,2.51,38.6,-15.1
G1,local,1-5,274,home,1.88,52.6,-7.86
G1,local,1-5,274,draw,3.75,23.4,-17.51
G1,local,1-5,274,away,5.42,24.1,-3.39
G1,local,11-15,16,home,1.21,81.2,-1.69
G1,local,11-15,16,draw,6.5,18.8,14.75
G1,local,11-15,16,away,14.04,0.0,-100.0
G1,local,6-10,96,home,1.43,76.0,3.18
G1,local,6-10,96,draw,5.31,12.5,-49.34
G1,local,6-10,96,away,10.35,11.5,-25.07
G1,visita,1-5,316,home,3.3,30.4,-18.4
G1,visita,1-5,316,draw,3.39,28.2,-8.18
G1,visita,1-5,316,away,2.92,41.5,2.44
G1,visita,11-15,17,home,8.69,11.8,-10.41
G1,visita,11-15,17,draw,4.58,23.5,6.29
G1,visita,11-15,17,away,1.38,64.7,-11.0
G1,visita,6-10,93,home,6.02,17.2,-18.31
G1,visita,6-10,93,draw,4.0,28.0,10.82
G1,visita,6-10,93,away,1.85,54.8,-6.94
SC0,local,1-5,273,home,1.93,61.9,11.36
SC0,local,1-5,273,draw,4.2,19.0,-25.75
SC0,local,1-5,273,away,5.88,19.0,-24.2
SC0,local,11-15,5,home,1.12,100.0,11.8
SC0,local,11-15,5,draw,8.69,0.0,-100.0
SC0,local,11-15,5,away,20.51,0.0,-100.0
SC0,local,6-10,98,home,1.51,68.4,-4.87
SC0,local,6-10,98,draw,5.76,19.4,-10.7
SC0,local,6-10,98,away,10.73,12.2,-17.65
SC0,visita,1-5,301,home,3.47,33.2,-10.19
SC0,visita,1-5,301,draw,3.62,27.9,-0.15
SC0,visita,1-5,301,away,2.76,38.9,-8.01
SC0,visita,11-15,2,home,14.13,50.0,733.5
SC0,visita,11-15,2,draw,6.56,0.0,-100.0
SC0,visita,11-15,2,away,1.2,50.0,-37.0
SC0,visita,6-10,113,home,6.51,24.8,2.85
SC0,visita,6-10,113,draw,4.52,23.9,-5.69
SC0,visita,6-10,113,away,1.88,51.3,-21.92
