league,match_id,home_team,away_team,selection,p_model,odds,ev,kelly_stake_frac,won
SP1,381,Girona,Vallecano,home,0.5272626872137935,2.24,0.18106841935889761,0.036505729709455155,False
SP1,383,Mallorca,Barcelona,home,0.1652594572217483,6.75,0.11550133624680115,0.005021797228121784,False
SP1,383,Mallorca,Barcelona,draw,0.21927065600867163,4.74,0.03934290948110353,0.0026298736284160185,False
SP1,384,Alaves,Levante,home,0.48739941495849626,2.19,0.0674047187591067,0.014160655201493028,True
SP1,384,Alaves,Levante,away,0.27659786394104924,3.64,0.006816224745419319,0.0006454758281646977,False
SP1,386,Celta,Getafe,away,0.2522505350042012,5.25,0.3243153087720563,0.019077371104238603,True
SP1,387,Ath Bilbao,Sevilla,away,0.1623082603475779,6.17,0.001441966344555512,6.972757952396093e-05,False
SP1,388,Espanol,Ath Madrid,home,0.20632261456675205,6.25,0.28951634104220036,0.01378649243058097,True
SP1,389,Elche,Betis,away,0.5066551271950972,2.17,0.09944162601336082,0.021248210686615584,False
SP1,390,Real Madrid,Osasuna,draw,0.15948731644305675,6.66,0.0621855275107579,0.0027467105790970853,False
SP1,390,Real Madrid,Osasuna,away,0.1005588405605033,13.16,0.32335434177622324,0.006647909987175646,False
SP1,391,Betis,Alaves,home,0.5425652136388893,1.88,0.020022601641111804,0.005688239102588597,True
SP1,392,Mallorca,Celta,home,0.36630331606562755,2.94,0.07693174923294488,0.009913885210431041,False
SP1,394,Levante,Barcelona,home,0.12279299558437747,10.44,0.2819588739009007,0.00746713119440945,False
SP1,397,Villarreal,Girona,away,0.23278906085907353,5.69,0.32456975628812845,0.017301159716851196,False
SP1,396,Sociedad,Espanol,away,0.24425154335181462,4.6,0.12355709941834725,0.008580354126274115,False
SP1,395,Osasuna,Valencia,home,0.4401804732826321,2.36,0.03882591694701176,0.007137117085847731,True
SP1,401,Celta,Betis,away,0.35585979344957425,3.17,0.1280755452351503,0.014755247146906717,False
SP1,402,Elche,Levante,away,0.37772796689668875,3.52,0.3296024434763445,0.032698655106780196,False
SP1,406,Girona,Sevilla,home,0.5211838939260474,2.42,0.2612650233010345,0.04599736325722441,False
SP1,407,Real Madrid,Mallorca,draw,0.17719132086533004,6.96,0.23325159322269706,0.009784043339878238,False
SP1,407,Real Madrid,Mallorca,away,0.09137627355137463,14.97,0.3679028150640784,0.006583801271726526,False
SP1,411,Vallecano,Barcelona,home,0.16726844377363315,6.74,0.1273893110342874,0.005548314940517744,False
SP1,411,Vallecano,Barcelona,draw,0.21024139765716726,5.11,0.07433354202812481,0.004521504989545304,True
SP1,410,Espanol,Osasuna,away,0.3258778852062755,3.09,0.00696266528739109,0.0008328546994487083,False
SP1,412,Sevilla,Elche,home,0.5636812300393244,1.85,0.04281027557275019,0.012591257521397097,False
SP1,414,Sociedad,Real Madrid,home,0.21392102860554857,5.25,0.12308540017912994,0.007240317657595885,False
SP1,414,Sociedad,Real Madrid,draw,0.24883026332284147,4.17,0.037622198056249,0.0029670503198934457,False
SP1,415,Ath Bilbao,Alaves,draw,0.261468985173962,3.83,0.0014262132162745633,0.0001259905668086972,False
SP1,416,Ath Madrid,Villarreal,home,0.5973614576699333,1.81,0.08122423838257942,0.02506920937733929,True
SP1,420,Barcelona,Valencia,draw,0.14703609570319717,7.01,0.030723030879412194,0.0012779962928208069,False
SP1,420,Barcelona,Valencia,away,0.0945894707276685,11.38,0.07642817688086767,0.0018407557052232096,False
SP1,418,Levante,Betis,away,0.4769717696570754,2.25,0.07318648172841957,0.014637296345683937,False
SP1,417,Celta,Girona,away,0.32683934983030727,4.61,0.5067294027177167,0.03509206390011888,False
SP1,419,Osasuna,Vallecano,home,0.4557280251508532,2.48,0.130205502374116,0.021994172698330386,True
SP1,423,Girona,Levante,home,0.6366373423966639,1.93,0.22871007082556138,0.05,False
SP1,426,Villarreal,Osasuna,away,0.19838597683934667,5.76,0.14270322659463686,0.007494917363163695,False
SP1,425,Alaves,Sevilla,away,0.31865699457512525,3.29,0.04838151215216202,0.005281824470760046,True
SP1,427,Valencia,Ath Bilbao,away,0.44530940689952336,2.48,0.10436732911081803,0.017629616403854378,False
SP1,424,Real Madrid,Espanol,away,0.08596440644763295,13.36,0.14848447014037625,0.003003326661415375,False
SP1,428,Vallecano,Celta,away,0.352081714292291,3.09,0.08793249716317919,0.010518241287461613,False
SP1,429,Mallorca,Ath Madrid,home,0.19985954404445805,5.05,0.00929069742451305,0.000573499841019331,False
SP1,431,Barcelona,Getafe,draw,0.16209326566402157,6.27,0.016324775713415285,0.0007744201002568868,False
SP1,431,Barcelona,Getafe,away,0.09247196326566953,11.89,0.09949164322881088,0.002284013848227979,False
SP1,434,Levante,Real Madrid,home,0.12872165401545216,8.29,0.06710251178809834,0.002301183531827786,False
SP1,432,Ath Bilbao,Girona,draw,0.22906418689279098,4.39,0.00559178045935238,0.000412373190217719,True
SP1,432,Ath Bilbao,Girona,away,0.19453158573330231,7.23,0.4064633648517759,0.01631072892663627,False
SP1,435,Sevilla,Villarreal,home,0.32721988593964824,3.07,0.0045650498347200585,0.0005513345211014564,False
SP1,435,Sevilla,Villarreal,away,0.4420369838972461,2.32,0.025525802641610973,0.004834432318486907,True
SP1,433,Espanol,Valencia,away,0.3180330000808005,3.3,0.049508900266641565,0.005381402202895823,False
SP1,438,Sociedad,Mallorca,draw,0.31392307782981194,3.49,0.09559154162604377,0.009597544339964223,False
SP1,438,Sociedad,Mallorca,away,0.23042609160337998,4.69,0.08069836961985222,0.005467369215437142,False
SP1,437,Ath Madrid,Vallecano,home,0.6822526910815078,1.5,0.023379036622261706,0.011689518311130825,True
SP1,439,Osasuna,Elche,home,0.5684231036482736,1.97,0.11979351418709916,0.030874617058530684,False
SP1,441,Girona,Espanol,home,0.544492125799181,2.44,0.3285607869500018,0.05,False
SP1,445,Villarreal,Ath Bilbao,away,0.3536865612874419,3.64,0.2874190830862886,0.027217716201353086,False
SP1,442,Getafe,Levante,home,0.4984553900201158,2.05,0.021833549541237396,0.0051984641764850955,False
SP1,442,Getafe,Levante,away,0.2635617706429232,3.95,0.04106899403954656,0.0034804232236903955,False
SP1,443,Ath Madrid,Real Madrid,home,0.40022992823368597,2.94,0.17667598900703663,0.0227675243565769,True
SP1,446,Vallecano,Sevilla,away,0.31509345316294035,3.8,0.19735512201917338,0.017620993037426185,True
SP1,448,Barcelona,Sociedad,draw,0.17821958967176385,5.88,0.047931187269971476,0.002455491151125588,False
SP1,448,Barcelona,Sociedad,away,0.11761517273207042,9.61,0.13028180995519678,0.003782863239117212,False
SP1,447,Elche,Celta,away,0.46156155166383256,2.57,0.18621318777604956,0.029651781493001527,False
SP1,449,Betis,Osasuna,away,0.23358331539708524,4.5,0.051124919286883674,0.0036517799490631115,False
SP1,451,Osasuna,Getafe,away,0.2679418259381413,4.1,0.09856148634637929,0.007948506963417685,False
SP1,453,Girona,Valencia,home,0.5102783911052039,2.43,0.2399764903856456,0.041953931885602355,True
SP1,454,Ath Bilbao,Mallorca,draw,0.27189819729629594,3.92,0.06584093340148,0.0056370662158801476,False
SP1,456,Alaves,Elche,home,0.50122249420981,2.34,0.17286063645095529,0.03225011874084989,True
SP1,459,Sociedad,Vallecano,draw,0.30155923431114595,3.34,0.007207842599227465,0.0007700686537636182,False
SP1,460,Celta,Ath Madrid,home,0.251244142174327,4.34,0.09039957703657908,0.006766435406929581,False
SP1,457,Sevilla,Barcelona,home,0.1813080713878617,5.84,0.05883913690511222,0.003039211616999598,True
SP1,458,Espanol,Betis,away,0.4052027826938255,2.63,0.06568331848476094,0.010074128601957201,True
SP1,464,Villarreal,Betis,away,0.26539512455400216,3.87,0.027079132023988484,0.002358809409755085,False
SP1,463,Barcelona,Girona,draw,0.1371248940690356,7.39,0.013352967170173091,0.0005224165559535638,False
SP1,463,Barcelona,Girona,away,0.10925242229173293,12.16,0.32850945506747253,0.00735908277480897,False
SP1,462,Sevilla,Mallorca,away,0.263559683455383,4.46,0.17547618821100808,0.012678915333165331,True
SP1,465,Ath Madrid,Osasuna,away,0.13002649499426144,8.72,0.13383103634995996,0.004333906617550513,False
SP1,468,Levante,Vallecano,home,0.42172236914386974,2.75,0.1597365151456418,0.022819502163663113,False
SP1,467,Celta,Sociedad,away,0.30068625860608666,3.46,0.04037445477705992,0.00410309499766868,False
SP1,469,Getafe,Real Madrid,home,0.1757975183661219,7.63,0.3413350651335101,0.012870854643043363,False
SP1,469,Getafe,Real Madrid,draw,0.2395133887480164,4.38,0.04906864271631184,0.003629337479017148,False
SP1,466,Elche,Ath Bilbao,away,0.5648783780774227,2.12,0.19754216152413617,0.044094232483066105,False
SP1,470,Alaves,Valencia,away,0.3163420137837763,3.4,0.0755628468648395,0.007871129881754103,False
SP1,475,Valencia,Villarreal,home,0.3273220217440288,3.19,0.04415724936345189,0.005040781890805011,False
SP1,473,Espanol,Elche,home,0.5387695367191887,1.97,0.06137598733680183,0.01581855343732003,True
SP1,479,Vallecano,Alaves,away,0.2785881936182418,3.88,0.08092219123877809,0.0070244957672550325,False
SP1,476,Mallorca,Levante,home,0.480763928096206,2.1,0.009604249002032716,0.002182783864098319,False
SP1,478,Osasuna,Celta,home,0.4258760490443384,2.36,0.0050674757446385055,0.0009315212765879811,False
