liga,bucket_desacuerdo,lado_apostado,n,acierto_pct,profit_total,roi_pct
T1,<0.5,away,418,46.4,-225.8,-5.4
T1,<0.5,home,243,49.4,26.05,1.07
T1,0.5-1.0,away,311,46.9,-241.6,-7.77
T1,0.5-1.0,home,70,41.4,-68.75,-9.82
T1,1.0-1.5,away,139,43.2,-171.85,-12.36
T1,1.0-1.5,home,12,33.3,-30.1,-25.08
T1,1.5+,away,20,40.0,-18.6,-9.3
T1,1.5+,home,1,0.0,-10.0,-100.0
G1,<0.5,away,265,50.2,-73.95,-2.79
G1,<0.5,home,149,49.7,-51.05,-3.43
G1,0.5-1.0,away,181,54.7,85.4,4.72
G1,0.5-1.0,home,72,38.9,-107.35,-14.91
G1,1.0-1.5,away,104,47.1,13.4,1.29
G1,1.0-1.5,home,17,23.5,-60.2,-35.41
G1,1.5+,away,20,40.0,-35.2,-17.6
G1,1.5+,home,4,50.0,-4.4,-11.0
SC0,<0.5,away,228,41.2,-342.65,-15.03
SC0,<0.5,home,161,55.3,140.05,8.7
SC0,0.5-1.0,away,183,47.5,-6.0,-0.33
SC0,0.5-1.0,home,69,47.8,-52.65,-7.63
SC0,1.0-1.5,away,82,41.5,-127.65,-15.57
SC0,1.0-1.5,home,24,45.8,-23.2,-9.67
SC0,1.5+,away,41,53.7,9.4,2.29
SC0,1.5+,home,4,50.0,-3.4,-8.5
