liga,bucket,n,seleccion,cuota_prom,acierto_pct,roi_pct
SP1,<2.2,309,over,2.28,44.0,-3.97
SP1,<2.2,309,under,1.72,56.0,-6.9
SP1,2.2-2.6,375,over,2.15,42.1,-11.71
SP1,2.2-2.6,375,under,1.79,57.9,1.47
SP1,2.6-3.0,312,over,2.02,49.7,-3.89
SP1,2.6-3.0,312,under,1.91,50.3,-7.37
SP1,3.0+,321,over,1.88,50.5,-9.07
SP1,3.0+,321,under,2.09,49.5,-1.47
E0,<2.2,102,over,1.98,53.9,4.34
E0,<2.2,102,under,1.9,46.1,-15.32
E0,2.2-2.6,238,over,1.84,53.4,-3.35
E0,2.2-2.6,238,under,2.08,46.6,-5.05
E0,2.6-3.0,331,over,1.76,57.7,0.09
E0,2.6-3.0,331,under,2.18,42.3,-10.4
E0,3.0+,648,over,1.64,59.1,-4.7
E0,3.0+,648,under,2.41,40.9,-5.22
N1,<2.2,73,over,1.87,50.7,-8.03
N1,<2.2,73,under,2.01,49.3,-4.82
N1,2.2-2.6,178,over,1.77,56.2,-1.67
N1,2.2-2.6,178,under,2.14,43.8,-8.65
N1,2.6-3.0,242,over,1.7,59.5,-0.91
N1,2.6-3.0,242,under,2.27,40.5,-12.55
N1,3.0+,544,over,1.6,59.4,-7.34
N1,3.0+,544,under,2.46,40.6,-5.32
P1,<2.2,210,over,2.12,47.1,-1.63
P1,<2.2,210,under,1.77,52.9,-7.74
P1,2.2-2.6,288,over,2.02,50.0,-2.98
P1,2.2-2.6,288,under,1.87,50.0,-11.48
P1,2.6-3.0,291,over,1.93,47.8,-10.94
P1,2.6-3.0,291,under,1.96,52.2,-1.26
P1,3.0+,255,over,1.82,56.5,-0.4
P1,3.0+,255,under,2.1,43.5,-13.29
