liga,bucket,n,seleccion,cuota_prom,acierto_pct,roi_pct
SP1,<6,124,over,2.42,42.7,0.2
SP1,<6,124,under,1.6,57.3,-9.44
SP1,6-8,482,over,2.22,44.2,-5.44
SP1,6-8,482,under,1.74,55.8,-5.48
SP1,8-10,474,over,2.02,47.9,-7.45
SP1,8-10,474,under,1.92,52.1,-3.96
SP1,10+,237,over,1.78,49.8,-15.27
SP1,10+,237,under,2.21,50.2,5.62
E0,<6,39,over,2.02,53.8,9.56
E0,<6,39,under,1.86,46.2,-12.79
E0,6-8,355,over,1.86,54.6,-0.77
E0,6-8,355,under,2.05,45.4,-10.6
E0,8-10,493,over,1.75,55.2,-4.59
E0,8-10,493,under,2.2,44.8,-2.81
E0,10+,432,over,1.59,62.3,-2.79
E0,10+,432,under,2.52,37.7,-9.13
N1,<6,49,over,1.85,55.1,2.14
N1,<6,49,under,2.0,44.9,-10.57
N1,6-8,230,over,1.79,50.0,-12.39
N1,6-8,230,under,2.07,50.0,0.48
N1,8-10,348,over,1.7,55.5,-7.77
N1,8-10,348,under,2.25,44.5,-3.65
N1,10+,410,over,1.55,65.6,0.85
N1,10+,410,under,2.59,34.4,-14.99
P1,<6,97,over,2.21,38.1,-15.45
P1,<6,97,under,1.68,61.9,3.91
P1,6-8,373,over,2.14,44.8,-5.82
P1,6-8,373,under,1.74,55.2,-4.72
P1,8-10,323,over,1.92,51.4,-5.35
P1,8-10,323,under,1.98,48.6,-8.63
P1,10+,251,over,1.7,62.2,3.64
P1,10+,251,under,2.25,37.8,-18.0
