id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away
20210806_Monaco_Nantes,2021-08-06 19:00:00,FRA-Ligue 1,2122,Monaco,Nantes,1,1,1,1.76899,0.239715,,,,,,,,Nantes,Monaco,0,1,1,0.239715,1.76899,,,,,,,
20210807_Lyon_Brest,2021-08-07 15:00:00,FRA-Ligue 1,2122,Lyon,Brest,1,1,1,1.17521,1.01966,,,,,,,,Brest,Lyon,0,1,1,1.01966,1.17521,,,,,,,
20210807_Troyes_Paris Saint Germain,2021-08-07 19:00:00,FRA-Ligue 1,2122,Troyes,Paris Saint Germain,1,1,2,0.618173,1.48651,,,,,,,,Paris Saint Germain,Troyes,0,2,1,1.48651,0.618173,,,,,,,
20210808_Rennes_Lens,2021-08-08 11:00:00,FRA-Ligue 1,2122,Rennes,Lens,1,1,1,0.598423,2.13637,,,,,,,,Lens,Rennes,0,1,1,2.13637,0.598423,,,,,,,
20210808_Saint-Etienne_Lorient,2021-08-08 13:00:00,FRA-Ligue 1,2122,Saint-Etienne,Lorient,1,1,1,1.85797,0.835981,,,,,,,,Lorient,Saint-Etienne,0,1,1,0.835981,1.85797,,,,,,,
20210808_Bordeaux_Clermont Foot,2021-08-08 13:00:00,FRA-Ligue 1,2122,Bordeaux,Clermont Foot,1,0,2,0.510543,2.95652,,,,,,,,Clermont Foot,Bordeaux,0,2,0,2.95652,0.510543,,,,,,,
20210808_Nice_Reims,2021-08-08 13:00:00,FRA-Ligue 1,2122,Nice,Reims,1,0,0,1.09947,0.158446,,,,,,,,Reims,Nice,0,0,0,0.158446,1.09947,,,,,,,
20210808_Strasbourg_Angers,2021-08-08 13:00:00,FRA-Ligue 1,2122,Strasbourg,Angers,1,0,2,0.267011,1.41617,,,,,,,,Angers,Strasbourg,0,2,0,1.41617,0.267011,,,,,,,
20210808_Metz_Lille,2021-08-08 15:00:00,FRA-Ligue 1,2122,Metz,Lille,1,3,3,1.02062,1.62245,,,,,,,,Lille,Metz,0,3,3,1.62245,1.02062,,,,,,,
20210808_Montpellier_Marseille,2021-08-08 18:45:00,FRA-Ligue 1,2122,Montpellier,Marseille,1,2,3,0.764726,2.15797,,,,,,,,Marseille,Montpellier,0,3,2,2.15797,0.764726,,,,,,,
20210813_Borussia M.Gladbach_Bayern Munich,2021-08-13 18:30:00,GER-Bundesliga,2122,Borussia M.Gladbach,Bayern Munich,1,1,1,1.98777,2.91794,,,,,,,,Bayern Munich,Borussia M.Gladbach,0,1,1,2.91794,1.98777,,,,,,,
20210813_Brentford_Arsenal,2021-08-13 19:00:00,ENG-Premier League,2122,Brentford,Arsenal,1,2,0,1.88818,1.02385,,,,,,,,Arsenal,Brentford,0,0,2,1.02385,1.88818,,,,,,,
20210813_Valencia_Getafe,2021-08-13 19:00:00,ESP-La Liga,2122,Valencia,Getafe,1,1,0,1.57861,1.19326,,,,,,,,Getafe,Valencia,0,0,1,1.19326,1.57861,,,,,,,
20210813_Lorient_Monaco,2021-08-13 19:00:00,FRA-Ligue 1,2122,Lorient,Monaco,1,1,0,0.779459,0.86536,,,,,,,,Monaco,Lorient,0,0,1,0.86536,0.779459,,,,,,,
20210814_Manchester United_Leeds,2021-08-14 11:30:00,ENG-Premier League,2122,Manchester United,Leeds,1,5,1,1.64248,0.568342,,,,,,,,Leeds,Manchester United,0,1,5,0.568342,1.64248,,,,,,,
20210814_Wolfsburg_Bochum,2021-08-14 13:30:00,GER-Bundesliga,2122,Wolfsburg,Bochum,1,1,0,2.78774,0.297792,,,,,,,,Bochum,Wolfsburg,0,0,1,0.297792,2.78774,,,,,,,
20210814_Augsburg_Hoffenheim,2021-08-14 13:30:00,GER-Bundesliga,2122,Augsburg,Hoffenheim,1,0,4,0.734658,3.44423,,,,,,,,Hoffenheim,Augsburg,0,4,0,3.44423,0.734658,,,,,,,
20210814_VfB Stuttgart_Greuther Fuerth,2021-08-14 13:30:00,GER-Bundesliga,2122,VfB Stuttgart,Greuther Fuerth,1,5,1,4.25968,1.31466,,,,,,,,Greuther Fuerth,VfB Stuttgart,0,1,5,1.31466,4.25968,,,,,,,
20210814_Union Berlin_Bayer Leverkusen,2021-08-14 13:30:00,GER-Bundesliga,2122,Union Berlin,Bayer Leverkusen,1,1,1,0.443841,0.7943,,,,,,,,Bayer Leverkusen,Union Berlin,0,1,1,0.7943,0.443841,,,,,,,
20210814_Arminia Bielefeld_Freiburg,2021-08-14 13:30:00,GER-Bundesliga,2122,Arminia Bielefeld,Freiburg,1,0,0,0.575032,1.63663,,,,,,,,Freiburg,Arminia Bielefeld,0,0,0,1.63663,0.575032,,,,,,,
20210814_Burnley_Brighton,2021-08-14 14:00:00,ENG-Premier League,2122,Burnley,Brighton,1,1,2,1.79548,1.6853,,,,,,,,Brighton,Burnley,0,2,1,1.6853,1.79548,,,,,,,
20210814_Chelsea_Crystal Palace,2021-08-14 14:00:00,ENG-Premier League,2122,Chelsea,Crystal Palace,1,3,0,1.18709,0.321701,,,,,,,,Crystal Palace,Chelsea,0,0,3,0.321701,1.18709,,,,,,,
20210814_Everton_Southampton,2021-08-14 14:00:00,ENG-Premier League,2122,Everton,Southampton,1,3,1,2.38863,0.580601,,,,,,,,Southampton,Everton,0,1,3,0.580601,2.38863,,,,,,,
20210814_Leicester_Wolverhampton Wanderers,2021-08-14 14:00:00,ENG-Premier League,2122,Leicester,Wolverhampton Wanderers,1,1,0,0.668082,1.32714,,,,,,,,Wolverhampton Wanderers,Leicester,0,0,1,1.32714,0.668082,,,,,,,
20210814_Watford_Aston Villa,2021-08-14 14:00:00,ENG-Premier League,2122,Watford,Aston Villa,1,3,2,1.35036,1.13718,,,,,,,,Aston Villa,Watford,0,2,3,1.13718,1.35036,,,,,,,
20210814_Lille_Nice,2021-08-14 15:00:00,FRA-Ligue 1,2122,Lille,Nice,1,0,4,0.768573,2.33694,,,,,,,,Nice,Lille,0,4,0,2.33694,0.768573,,,,,,,
20210814_Borussia Dortmund_Eintracht Frankfurt,2021-08-14 16:30:00,GER-Bundesliga,2122,Borussia Dortmund,Eintracht Frankfurt,1,5,2,2.83799,1.36709,,,,,,,,Eintracht Frankfurt,Borussia Dortmund,0,2,5,1.36709,2.83799,,,,,,,
20210814_Norwich_Liverpool,2021-08-14 16:30:00,ENG-Premier League,2122,Norwich,Liverpool,1,0,3,1.3333,1.78728,,,,,,,,Liverpool,Norwich,0,3,0,1.78728,1.3333,,,,,,,
20210814_Mallorca_Real Betis,2021-08-14 17:30:00,ESP-La Liga,2122,Mallorca,Real Betis,1,1,1,0.569578,0.814085,,,,,,,,Real Betis,Mallorca,0,1,1,0.814085,0.569578,,,,,,,
20210814_Cadiz_Levante,2021-08-14 17:30:00,ESP-La Liga,2122,Cadiz,Levante,1,1,1,0.993589,0.915954,,,,,,,,Levante,Cadiz,0,1,1,0.915954,0.993589,,,,,,,
20210814_Paris Saint Germain_Strasbourg,2021-08-14 19:00:00,FRA-Ligue 1,2122,Paris Saint Germain,Strasbourg,1,4,2,2.90032,0.570058,,,,,,,,Strasbourg,Paris Saint Germain,0,2,4,0.570058,2.90032,,,,,,,
20210814_Alaves_Real Madrid,2021-08-14 20:00:00,ESP-La Liga,2122,Alaves,Real Madrid,1,1,4,1.41097,2.15551,,,,,,,,Real Madrid,Alaves,0,4,1,2.15551,1.41097,,,,,,,
20210814_Osasuna_Espanyol,2021-08-14 20:00:00,ESP-La Liga,2122,Osasuna,Espanyol,1,0,0,0.579404,0.583698,,,,,,,,Espanyol,Osasuna,0,0,0,0.583698,0.579404,,,,,,,
20210815_Angers_Lyon,2021-08-15 11:00:00,FRA-Ligue 1,2122,Angers,Lyon,1,3,0,1.6418,0.977124,,,,,,,,Lyon,Angers,0,0,3,0.977124,1.6418,,,,,,,
20210815_Brest_Rennes,2021-08-15 13:00:00,FRA-Ligue 1,2122,Brest,Rennes,1,1,1,2.2991,1.32152,,,,,,,,Rennes,Brest,0,1,1,1.32152,2.2991,,,,,,,
20210815_Nantes_Metz,2021-08-15 13:00:00,FRA-Ligue 1,2122,Nantes,Metz,1,2,0,1.7221,0.885265,,,,,,,,Metz,Nantes,0,0,2,0.885265,1.7221,,,,,,,
20210815_Reims_Montpellier,2021-08-15 13:00:00,FRA-Ligue 1,2122,Reims,Montpellier,1,3,3,1.30758,1.9999,,,,,,,,Montpellier,Reims,0,3,3,1.9999,1.30758,,,,,,,
20210815_Clermont Foot_Troyes,2021-08-15 13:00:00,FRA-Ligue 1,2122,Clermont Foot,Troyes,1,2,0,1.44309,0.696005,,,,,,,,Troyes,Clermont Foot,0,0,2,0.696005,1.44309,,,,,,,
20210815_Newcastle United_West Ham,2021-08-15 13:00:00,ENG-Premier League,2122,Newcastle United,West Ham,1,2,4,1.67926,3.00939,,,,,,,,West Ham,Newcastle United,0,4,2,3.00939,1.67926,,,,,,,
20210815_Mainz 05_RasenBallsport Leipzig,2021-08-15 13:30:00,GER-Bundesliga,2122,Mainz 05,RasenBallsport Leipzig,1,1,0,1.27109,0.841814,,,,,,,,RasenBallsport Leipzig,Mainz 05,0,0,1,0.841814,1.27109,,,,,,,
20210815_Lens_Saint-Etienne,2021-08-15 15:00:00,FRA-Ligue 1,2122,Lens,Saint-Etienne,1,2,2,1.1447,0.85171,,,,,,,,Saint-Etienne,Lens,0,2,2,0.85171,1.1447,,,,,,,
