id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away,cuota_home,cuota_draw,cuota_away,target_1x2,tendencia_xg_home,tendencia_xg_away,diff_xg_10_h_vs_a,prob_empate,prob_local,prob_visita
20250518_West Ham_Nottingham Forest,2025-05-18 13:15:00,ENG-Premier League,2425,West Ham,Nottingham Forest,1,1,2,0.850457,2.14756,1.4006120000000002,1.3612238,0.0393882,1.2685847,1.2966737000000002,-0.028089,0.945935304173774,Nottingham Forest,West Ham,0,2,1,2.14756,0.850457,0.8116335999999998,1.750632,-0.9389984,0.7855228000000001,1.5813263000000002,-0.7958035000000001,1.5276430835068269,1.4,4.9,8.19,2,0.0674772,-0.1431948999999999,0.4830618999999998,0.2812569,0.50861365,0.21012947
20250518_Leicester_Ipswich,2025-05-18 14:00:00,ENG-Premier League,2425,Leicester,Ipswich,1,2,0,0.788544,1.36957,1.220661,2.6242768,-1.4036157999999996,0.8265236,2.3245874,-1.4980638,0.725931206403294,Ipswich,Leicester,0,0,2,1.36957,0.788544,0.756807,2.3931682000000003,-1.6363612000000003,0.926766,2.2619841000000003,-1.3352181000000003,1.1869218476704502,1.4,4.9,8.19,1,0.09444800000000031,-0.3011431,-0.10024239999999995,0.21365659,0.3610121,0.42533132
20250518_Brentford_Fulham,2025-05-18 14:00:00,ENG-Premier League,2425,Brentford,Fulham,1,2,3,2.43045,1.61741,1.9944846000000005,0.9061037999999996,1.0883808000000006,1.6446706,1.3047719,0.3398987,0.9728385897829088,Fulham,Brentford,0,3,2,1.61741,2.43045,1.0570458,1.2322342000000002,-0.1751884000000001,1.1637546,1.4151234,-0.2513688,1.1170730349224527,1.4,4.9,8.19,2,0.7484821000000006,0.0761803999999999,0.4809159999999999,0.15754057,0.75618833,0.08627111
20250518_Arsenal_Newcastle United,2025-05-18 15:30:00,ENG-Premier League,2425,Arsenal,Newcastle United,1,1,0,1.15958,2.24634,1.9490538,1.4902524,0.4588013999999998,1.7293603999999998,1.2227789,0.5065814999999998,0.8673721987781156,Newcastle United,Arsenal,0,0,1,2.24634,1.15958,2.204938,1.3781364,0.8268015999999998,2.145852,1.1788091,0.9670429,1.025233322133436,1.4,4.9,8.19,1,-0.04778009999999999,-0.14024130000000024,-0.4164916000000003,0.16248547,0.5594261,0.27808845
20250518_Real Valladolid_Alaves,2025-05-18 17:00:00,ESP-La Liga,2425,Real Valladolid,Alaves,1,0,1,0.890453,1.22692,1.4221507999999998,2.032924,-0.6107732000000001,1.1572194,2.254611,-1.0973915999999997,0.7777256605569691,Alaves,Real Valladolid,0,1,0,1.22692,0.890453,1.146432,0.9389780000000002,0.2074539999999997,1.1459924999999995,1.2951803,-0.1491878000000002,0.610823708860478,1.4,4.9,8.19,2,0.48661839999999956,0.3566417999999999,0.011226900000000484,0.32420877,0.22090127,0.45488992
20250518_Celta Vigo_Rayo Vallecano,2025-05-18 17:00:00,ESP-La Liga,2425,Celta Vigo,Rayo Vallecano,1,1,2,2.4242,0.906857,2.0182922,2.43234,-0.4140478000000001,1.6000597,1.5977459,0.0023137999999998,1.1249573219315994,Rayo Vallecano,Celta Vigo,0,2,1,0.906857,2.4242,1.0760354,1.6210024,-0.5449670000000002,1.0128852,1.7669526999999998,-0.7540674999999999,1.0860055157232869,1.4,4.9,8.19,2,-0.4163615999999999,0.2091004999999997,0.5871745000000002,0.34028658,0.42694086,0.2327726
20250518_Real Sociedad_Girona,2025-05-18 17:00:00,ESP-La Liga,2425,Real Sociedad,Girona,1,3,2,1.87253,1.64512,1.4549846000000002,1.2416234,0.2133612000000002,1.3744228,1.1606842,0.2137386000000001,0.654819859784151,Girona,Real Sociedad,0,2,3,1.64512,1.87253,1.0986486000000002,1.3381690000000002,-0.2395203999999999,1.105908,1.3483355,-0.2424275,0.7233868247749137,1.4,4.9,8.19,1,-0.0003773999999999167,0.002907100000000079,0.26851480000000016,0.20093167,0.6858227,0.113245614
20250518_Barcelona_Villarreal,2025-05-18 17:00:00,ESP-La Liga,2425,Barcelona,Villarreal,1,2,3,1.569,1.96183,2.6108634,1.5308182,1.0800452,2.5176357,1.0621587,1.455477,1.032714529463286,Villarreal,Barcelona,0,3,2,1.96183,1.569,1.7640879999999997,1.523335,0.2407529999999997,1.72765,1.4993652999999998,0.2282847000000001,0.9261129707330936,1.4,4.9,8.19,2,-0.37543179999999987,0.0124682999999996,0.7899857000000001,0.18759224,0.7196832,0.092724584
20250518_Las Palmas_Leganes,2025-05-18 17:00:00,ESP-La Liga,2425,Las Palmas,Leganes,1,0,1,0.513718,1.06274,0.9433272,1.401471,-0.4581438000000001,1.0910495,1.6329825,-0.541933,0.9165478591504244,Leganes,Las Palmas,0,1,0,1.06274,0.513718,1.0671192,1.6073936,-0.5402743999999999,1.3112766,1.8803798,-0.5691032,0.9151380302691056,1.4,4.9,8.19,2,0.0837891999999999,0.0288288000000001,-0.2202271,0.3143762,0.26432395,0.4212998
20250518_Sevilla_Real Madrid,2025-05-18 17:00:00,ESP-La Liga,2425,Sevilla,Real Madrid,1,0,2,0.484891,1.95992,1.742627,0.7680564000000001,0.9745706,1.2780881000000002,0.9846103,0.2934778000000002,0.704176258134116,Real Madrid,Sevilla,0,2,0,1.95992,0.484891,2.650424,1.8760768000000003,0.7743471999999998,2.416571,1.6677145,0.7488564999999998,0.7862376953800674,1.4,4.9,8.19,2,0.6810927999999998,0.025490699999999977,-1.1384828999999996,0.22380407,0.41501155,0.36118433
