match_id,season,match_date,home_team,away_team,home_pos,away_pos,hg,ag,actual,odds_away,odds_draw,odds_home,diff,gano,profit,league
433,2025-2026,2025-09-23,Espanol,Valencia,4.0,11.0,2,2,draw,3.3,3.18,2.26,-7.0,False,-10.0,SP1
442,2025-2026,2025-09-27,Getafe,Levante,7.0,17.0,1,1,draw,3.95,3.13,2.05,-10.0,False,-10.0,SP1
447,2025-2026,2025-09-28,Elche,Celta,7.0,14.0,2,1,home,2.57,3.14,2.78,-7.0,False,-10.0,SP1
450,2025-2026,2025-09-30,Valencia,Oviedo,12.0,19.0,1,2,away,5.11,3.64,1.68,-7.0,True,41.1,SP1
454,2025-2026,2025-10-04,Ath Bilbao,Mallorca,10.0,20.0,2,1,home,6.8,3.92,1.52,-10.0,False,-10.0,SP1
465,2025-2026,2025-10-18,Ath Madrid,Osasuna,6.0,12.0,1,0,home,8.72,4.68,1.37,-6.0,False,-10.0,SP1
481,2025-2026,2025-10-31,Getafe,Girona,10.0,20.0,2,1,home,3.91,2.95,2.15,-10.0,False,-10.0,SP1
483,2025-2026,2025-11-01,Ath Madrid,Sevilla,4.0,11.0,3,0,home,8.78,5.3,1.32,-7.0,False,-10.0,SP1
488,2025-2026,2025-11-02,Barcelona,Elche,3.0,9.0,3,1,home,12.22,6.46,1.21,-6.0,False,-10.0,SP1
489,2025-2026,2025-11-02,Betis,Mallorca,7.0,16.0,3,0,home,5.42,4.02,1.58,-9.0,False,-10.0,SP1
496,2025-2026,2025-11-09,Ath Bilbao,Oviedo,12.0,20.0,1,0,home,7.53,3.9,1.48,-8.0,False,-10.0,SP1
528,2025-2026,2025-12-07,Elche,Girona,11.0,18.0,3,0,home,3.34,3.41,2.12,-7.0,False,-10.0,SP1
538,2025-2026,2025-12-14,Sevilla,Oviedo,13.0,19.0,4,0,home,4.3,3.32,1.88,-6.0,False,-10.0,SP1
546,2025-2026,2025-12-20,Real Madrid,Sevilla,2.0,9.0,2,0,home,12.31,6.82,1.21,-7.0,False,-10.0,SP1
553,2025-2026,2026-01-03,Celta,Valencia,7.0,17.0,4,1,home,4.0,3.31,1.96,-10.0,False,-10.0,SP1
557,2025-2026,2026-01-04,Sevilla,Levante,11.0,20.0,0,3,away,4.48,3.6,1.77,-9.0,True,34.800000000000004,SP1
570,2025-2026,2026-01-16,Espanol,Girona,5.0,13.0,0,2,away,4.26,3.43,1.87,-8.0,True,32.599999999999994,SP1
590,2025-2026,2026-01-30,Espanol,Alaves,5.0,15.0,1,2,away,4.47,3.07,1.95,-10.0,True,34.699999999999996,SP1
596,2025-2026,2026-02-01,Betis,Valencia,6.0,15.0,2,1,home,4.31,3.47,1.83,-9.0,False,-10.0,SP1
603,2025-2026,2026-02-08,Alaves,Getafe,10.0,16.0,0,2,away,3.69,2.78,2.3,-6.0,True,26.9,SP1
604,2025-2026,2026-02-08,Ath Bilbao,Levante,12.0,19.0,4,2,home,5.52,3.8,1.61,-7.0,False,-10.0,SP1
613,2025-2026,2026-02-14,Real Madrid,Sociedad,2.0,8.0,4,1,home,7.59,5.27,1.34,-6.0,False,-10.0,SP1
620,2025-2026,2026-02-20,Ath Bilbao,Elche,9.0,16.0,2,1,home,5.03,3.83,1.66,-7.0,False,-10.0,SP1
637,2025-2026,2026-03-01,Betis,Sevilla,5.0,12.0,2,2,draw,4.42,3.63,1.77,-7.0,False,-10.0,SP1
642,2025-2026,2026-03-07,Osasuna,Mallorca,10.0,18.0,2,2,draw,4.93,3.55,1.74,-8.0,False,-10.0,SP1
674,2025-2026,2026-04-04,Betis,Espanol,5.0,11.0,0,0,draw,4.59,3.88,1.71,-6.0,False,-10.0,SP1
681,2025-2026,2026-04-10,Real Madrid,Girona,2.0,12.0,1,1,draw,8.57,5.76,1.3,-10.0,False,-10.0,SP1
682,2025-2026,2026-04-11,Sociedad,Alaves,7.0,15.0,3,3,draw,4.76,3.68,1.72,-8.0,False,-10.0,SP1
684,2025-2026,2026-04-11,Barcelona,Espanol,1.0,10.0,4,1,home,9.39,6.26,1.26,-9.0,False,-10.0,SP1
708,2025-2026,2026-04-26,Osasuna,Sevilla,10.0,18.0,2,1,home,3.55,3.35,2.03,-8.0,False,-10.0,SP1
716,2025-2026,2026-05-03,Celta,Elche,6.0,14.0,3,1,home,4.24,3.81,1.75,-8.0,False,-10.0,SP1
727,2025-2026,2026-05-10,Ath Bilbao,Valencia,9.0,15.0,0,1,away,4.73,3.67,1.71,-6.0,True,37.300000000000004,SP1
730,2025-2026,2026-05-11,Vallecano,Girona,11.0,17.0,1,1,draw,2.92,3.39,2.3,-6.0,False,-10.0,SP1
732,2025-2026,2026-05-12,Betis,Elche,5.0,14.0,2,1,home,5.25,4.16,1.57,-9.0,False,-10.0,SP1
