match_id,season,match_date,home_team,away_team,home_avg_for,home_avg_against,away_avg_for,away_avg_against,proxy_total,hg,ag,total_goles,resultado_ou,proxy_home,proxy_away,proxy_diff,odds_home_ah,linea,odds_away_ah,desacuerdo,margin,profit,league
488,2025-2026,2025-11-02,Barcelona,Elche,1.8,1.8,0.8,1.2,2.8,3,1,4,over,1.5,1.3,0.19999999999999996,1.88,-2.0,1.9,-1.8,2,0.0,SP1
546,2025-2026,2025-12-20,Real Madrid,Sevilla,1.6,1.2,1.4,1.0,2.5999999999999996,2,0,2,under,1.3,1.2999999999999998,2.220446049250313e-16,1.87,-2.0,1.9,-1.9999999999999998,2,0.0,SP1
551,2025-2026,2025-12-22,Ath Bilbao,Espanol,0.6,1.8,1.0,0.6,2.0,1,2,3,over,0.6,1.4,-0.7999999999999999,1.96,-0.75,1.82,-1.5499999999999998,-1,8.200000000000001,SP1
586,2025-2026,2026-01-25,Barcelona,Oviedo,2.4,1.0,0.8,1.8,3.0,3,0,3,over,2.1,0.9,1.2000000000000002,1.97,-2.75,1.81,-1.5499999999999998,3,-5.0,SP1
626,2025-2026,2026-02-22,Barcelona,Levante,2.2,1.0,1.0,1.8,3.0,3,0,3,over,2.0,1.0,1.0,1.78,-2.5,1.95,-1.5,3,-10.0,SP1
653,2025-2026,2026-03-14,Ath Madrid,Getafe,1.6,1.6,1.4,0.4,2.5,1,0,1,under,1.0,1.5,-0.5,1.97,-1.0,1.8,-1.5,1,0.0,SP1
716,2025-2026,2026-05-03,Celta,Elche,1.4,2.4,1.6,1.0,3.2,3,1,4,over,1.2,2.0,-0.8,1.94,-0.75,1.81,-1.55,2,-10.0,SP1
740,2025-2026,2026-05-14,Real Madrid,Oviedo,1.2,1.0,1.0,1.2,2.2,2,0,2,under,1.2,1.0,0.19999999999999996,1.81,-1.75,1.93,-1.55,2,-5.0,SP1
750,2025-2026,2026-05-17,Barcelona,Betis,1.4,0.4,2.2,1.2,2.5999999999999996,3,1,4,over,1.2999999999999998,1.3,-2.220446049250313e-16,1.83,-1.5,1.89,-1.5000000000000002,2,-10.0,SP1
82,2025-2026,2025-10-25,Chelsea,Sunderland,1.8,1.6,0.8,0.6,2.4000000000000004,1,2,3,over,1.2,1.2000000000000002,-2.220446049250313e-16,2.0,-1.5,1.78,-1.5000000000000002,-1,7.800000000000001,E0
97,2025-2026,2025-11-01,Liverpool,Aston Villa,1.4,2.0,1.8,0.8,3.0,2,0,2,under,1.1,1.9,-0.7999999999999998,1.99,-1.0,1.77,-1.7999999999999998,2,-10.0,E0
139,2025-2026,2025-12-03,Liverpool,Sunderland,1.2,1.8,1.6,1.4,3.0,1,1,2,under,1.2999999999999998,1.7000000000000002,-0.40000000000000036,1.92,-1.5,1.84,-1.9000000000000004,0,8.4,E0
212,2025-2026,2026-01-17,Chelsea,Brentford,1.4,1.8,2.6,0.6,3.2,2,0,2,under,1.0,2.2,-1.2000000000000002,1.85,-0.75,1.92,-1.9500000000000002,2,-10.0,E0
224,2025-2026,2026-01-24,Man City,Wolves,0.8,1.0,1.2,0.8,1.9000000000000001,2,0,2,under,0.8,1.1,-0.30000000000000004,1.77,-1.75,2.0,-2.05,2,-5.0,E0
348,2025-2026,2026-05-04,Chelsea,Nott'm Forest,0.0,2.2,2.6,0.4,2.6000000000000005,1,3,4,over,0.2,2.4000000000000004,-2.2,1.85,-0.75,1.89,-2.95,-2,8.899999999999999,E0
362,2025-2026,2026-05-17,Man United,Nott'm Forest,1.4,1.0,2.8,0.8,3.0,3,2,5,over,1.1,1.9,-0.7999999999999998,1.94,-1.0,1.8,-1.7999999999999998,1,0.0,E0
370,2025-2026,2026-05-19,Chelsea,Tottenham,0.4,2.2,1.2,1.0,2.4000000000000004,2,1,3,over,0.7,1.7000000000000002,-1.0000000000000002,1.87,-0.5,1.85,-1.5000000000000002,1,-10.0,E0
380,2025-2026,2026-05-24,West Ham,Leeds,0.6,1.6,2.0,0.8,2.5,3,0,3,over,0.7,1.8,-1.1,1.79,-0.5,1.92,-1.6,3,-10.0,E0
831,2025-2026,2025-10-05,AZ Alkmaar,Telstar,1.8,1.6,1.8,1.8,3.5,2,1,3,over,1.8,1.7000000000000002,0.09999999999999987,1.93,-1.75,1.83,-1.6500000000000001,1,8.3,N1
834,2025-2026,2025-10-18,PSV Eindhoven,Go Ahead Eagles,2.6,1.6,2.0,1.4,3.8,2,1,3,over,2.0,1.8,0.19999999999999996,1.93,-2.0,1.82,-1.8,1,8.200000000000001,N1
854,2025-2026,2025-11-01,Feyenoord,Volendam,3.2,1.6,1.4,1.4,3.8,3,1,4,over,2.3,1.5,0.7999999999999998,1.98,-2.75,1.77,-1.9500000000000002,2,7.7,N1
882,2025-2026,2025-11-30,PSV Eindhoven,Volendam,3.2,1.2,1.6,1.6,3.8000000000000003,3,0,3,over,2.4000000000000004,1.4,1.0000000000000004,1.82,-2.75,4.43,-1.7499999999999996,3,-5.0,N1
891,2025-2026,2025-12-06,Feyenoord,Zwolle,2.0,2.2,1.8,2.6,4.3,6,1,7,over,2.3,2.0,0.2999999999999998,1.88,-2.25,1.86,-1.9500000000000002,5,-10.0,N1
893,2025-2026,2025-12-07,AZ Alkmaar,Go Ahead Eagles,1.4,2.0,1.6,1.6,3.3,2,2,4,over,1.5,1.8,-0.30000000000000004,1.81,-1.25,1.93,-1.55,0,9.299999999999999,N1
898,2025-2026,2025-12-13,PSV Eindhoven,Heracles,3.2,0.6,3.2,1.4,4.2,4,3,7,over,2.3,1.9000000000000001,0.3999999999999997,1.99,-2.75,1.76,-2.3500000000000005,1,7.6,N1
913,2025-2026,2026-01-10,AZ Alkmaar,Volendam,1.4,3.0,0.6,2.2,3.6,1,0,1,under,1.8,1.8,0.0,1.84,-2.0,1.91,-2.0,1,9.1,N1
915,2025-2026,2026-01-10,PSV Eindhoven,Excelsior,2.4,0.8,1.2,1.2,2.8,5,1,6,over,1.7999999999999998,1.0,0.7999999999999998,1.96,-2.5,1.77,-1.7000000000000002,4,-10.0,N1
930,2025-2026,2026-01-21,AZ Alkmaar,Excelsior,1.4,2.0,1.2,2.0,3.3,1,1,2,under,1.7,1.6,0.09999999999999987,1.93,-1.75,1.82,-1.6500000000000001,0,8.200000000000001,N1
965,2025-2026,2026-02-15,Heerenveen,Zwolle,1.2,2.2,2.0,1.4,3.4,4,2,6,over,1.2999999999999998,2.1,-0.8000000000000003,1.81,-1.0,1.93,-1.8000000000000003,2,-10.0,N1
994,2025-2026,2026-03-08,Nijmegen,Volendam,1.8,1.8,1.6,1.2,3.2,3,0,3,over,1.5,1.7000000000000002,-0.20000000000000018,1.82,-1.5,1.88,-1.7000000000000002,3,-10.0,N1
1013,2025-2026,2026-04-04,PSV Eindhoven,Utrecht,2.2,1.8,1.4,0.2,2.8000000000000003,4,3,7,over,1.2000000000000002,1.6,-0.3999999999999999,1.99,-1.25,1.74,-1.65,1,3.7,N1
1030,2025-2026,2026-04-12,AZ Alkmaar,Heerenveen,1.4,1.4,2.6,1.0,3.2,3,0,3,over,1.2,2.0,-0.8,1.79,-0.75,1.91,-1.55,3,-10.0,N1
1033,2025-2026,2026-04-23,PSV Eindhoven,Zwolle,2.2,2.0,1.2,2.0,3.7,6,1,7,over,2.1,1.6,0.5,1.77,-2.0,1.94,-1.5,5,-10.0,N1
1034,2025-2026,2026-04-25,Feyenoord,Groningen,1.4,1.2,1.8,0.4,2.4,3,1,4,over,0.8999999999999999,1.5,-0.6000000000000001,1.96,-1.0,1.76,-1.6,2,-10.0,N1
1048,2025-2026,2026-05-03,Sparta Rotterdam,Go Ahead Eagles,0.6,2.0,2.2,0.4,2.6,2,2,4,over,0.5,2.1,-1.6,1.77,-0.25,1.94,-1.85,0,4.699999999999999,N1
1061,2025-2026,2026-05-17,Nijmegen,Go Ahead Eagles,1.2,1.0,1.6,1.2,2.5,2,1,3,over,1.2,1.3,-0.10000000000000009,1.87,-1.5,1.83,-1.6,1,8.3,N1
