match_id,season,match_date,home_team,away_team,home_pos,away_pos,hg,ag,actual,odds_away,odds_draw,odds_home,diff,gano,profit,league
432,2025-2026,2025-09-23,Ath Bilbao,Girona,7.0,20.0,1,1,draw,7.23,4.39,1.44,-13.0,False,-10.0,SP1
433,2025-2026,2025-09-23,Espanol,Valencia,4.0,11.0,2,2,draw,3.3,3.18,2.26,-7.0,False,-10.0,SP1
436,2025-2026,2025-09-24,Getafe,Alaves,8.0,11.0,1,1,draw,3.6,2.87,2.3,-3.0,False,-10.0,SP1
437,2025-2026,2025-09-24,Ath Madrid,Vallecano,12.0,14.0,3,2,home,6.31,4.25,1.5,-2.0,True,5.0,SP1
438,2025-2026,2025-09-24,Sociedad,Mallorca,18.0,19.0,1,0,home,4.69,3.49,1.79,-1.0,True,7.9,SP1
442,2025-2026,2025-09-27,Getafe,Levante,7.0,17.0,1,1,draw,3.95,3.13,2.05,-10.0,False,-10.0,SP1
445,2025-2026,2025-09-27,Villarreal,Ath Bilbao,3.0,8.0,1,0,home,3.64,3.3,2.08,-5.0,True,10.8,SP1
447,2025-2026,2025-09-28,Elche,Celta,7.0,14.0,2,1,home,2.57,3.14,2.78,-7.0,True,17.799999999999997,SP1
448,2025-2026,2025-09-28,Barcelona,Sociedad,2.0,16.0,2,1,home,9.61,5.88,1.27,-14.0,True,2.7,SP1
449,2025-2026,2025-09-28,Betis,Osasuna,10.0,13.0,2,0,home,4.5,3.68,1.75,-3.0,True,7.5,SP1
450,2025-2026,2025-09-30,Valencia,Oviedo,12.0,19.0,1,2,away,5.11,3.64,1.68,-7.0,False,-10.0,SP1
452,2025-2026,2025-10-04,Oviedo,Levante,14.0,15.0,0,2,away,2.86,3.26,2.48,-1.0,False,-10.0,SP1
454,2025-2026,2025-10-04,Ath Bilbao,Mallorca,10.0,20.0,2,1,home,6.8,3.92,1.52,-10.0,True,5.2,SP1
455,2025-2026,2025-10-04,Real Madrid,Villarreal,2.0,3.0,3,1,home,6.1,4.98,1.44,-1.0,True,4.3999999999999995,SP1
462,2025-2026,2025-10-18,Sevilla,Mallorca,7.0,20.0,1,3,away,4.46,3.39,1.85,-13.0,False,-10.0,SP1
463,2025-2026,2025-10-18,Barcelona,Girona,2.0,18.0,2,1,home,12.16,7.39,1.19,-16.0,True,1.8999999999999995,SP1
464,2025-2026,2025-10-18,Villarreal,Betis,3.0,4.0,2,2,draw,3.87,3.73,1.88,-1.0,False,-10.0,SP1
465,2025-2026,2025-10-18,Ath Madrid,Osasuna,6.0,12.0,1,0,home,8.72,4.68,1.37,-6.0,True,3.700000000000001,SP1
466,2025-2026,2025-10-19,Elche,Ath Bilbao,8.0,9.0,0,0,draw,2.12,3.2,3.58,-1.0,False,-10.0,SP1
467,2025-2026,2025-10-19,Celta,Sociedad,17.0,20.0,1,1,draw,3.46,3.33,2.1,-3.0,False,-10.0,SP1
468,2025-2026,2025-10-19,Levante,Vallecano,13.0,14.0,0,3,away,2.5,3.33,2.75,-1.0,False,-10.0,SP1
470,2025-2026,2025-10-20,Alaves,Valencia,11.0,16.0,0,0,draw,3.4,3.06,2.25,-5.0,False,-10.0,SP1
473,2025-2026,2025-10-25,Espanol,Elche,6.0,7.0,1,0,home,3.91,3.34,1.97,-1.0,True,9.7,SP1
474,2025-2026,2025-10-25,Ath Bilbao,Getafe,8.0,12.0,0,1,away,6.08,3.49,1.65,-4.0,False,-10.0,SP1
477,2025-2026,2025-10-26,Real Madrid,Barcelona,1.0,2.0,2,1,home,3.16,4.07,1.99,-1.0,True,9.9,SP1
478,2025-2026,2025-10-26,Osasuna,Celta,13.0,18.0,2,3,away,3.08,3.17,2.36,-5.0,False,-10.0,SP1
481,2025-2026,2025-10-31,Getafe,Girona,10.0,20.0,2,1,home,3.91,2.95,2.15,-10.0,True,11.5,SP1
482,2025-2026,2025-11-01,Villarreal,Vallecano,3.0,8.0,4,0,home,4.8,3.85,1.69,-5.0,True,6.8999999999999995,SP1
483,2025-2026,2025-11-01,Ath Madrid,Sevilla,4.0,11.0,3,0,home,8.78,5.3,1.32,-7.0,True,3.2000000000000006,SP1
485,2025-2026,2025-11-01,Real Madrid,Valencia,1.0,18.0,4,0,home,14.28,7.58,1.17,-17.0,True,1.6999999999999993,SP1
488,2025-2026,2025-11-02,Barcelona,Elche,3.0,9.0,3,1,home,12.22,6.46,1.21,-6.0,True,2.0999999999999996,SP1
489,2025-2026,2025-11-02,Betis,Mallorca,7.0,16.0,3,0,home,5.42,4.02,1.58,-9.0,True,5.800000000000001,SP1
491,2025-2026,2025-11-07,Elche,Sociedad,9.0,14.0,1,1,draw,2.7,3.13,2.71,-5.0,False,-10.0,SP1
493,2025-2026,2025-11-08,Sevilla,Osasuna,13.0,15.0,1,0,home,3.52,3.21,2.16,-2.0,True,11.600000000000001,SP1
494,2025-2026,2025-11-08,Ath Madrid,Levante,4.0,17.0,3,1,home,12.28,6.53,1.21,-13.0,True,2.0999999999999996,SP1
496,2025-2026,2025-11-09,Ath Bilbao,Oviedo,12.0,20.0,1,0,home,7.53,3.9,1.48,-8.0,True,4.8,SP1
501,2025-2026,2025-11-21,Valencia,Levante,17.0,19.0,1,0,home,3.66,3.53,2.0,-2.0,True,10.0,SP1
502,2025-2026,2025-11-22,Alaves,Celta,10.0,13.0,0,1,away,2.94,3.04,2.56,-3.0,False,-10.0,SP1
503,2025-2026,2025-11-22,Barcelona,Ath Bilbao,2.0,7.0,4,0,home,6.7,5.01,1.41,-5.0,True,4.1,SP1
505,2025-2026,2025-11-22,Villarreal,Mallorca,3.0,16.0,2,1,home,7.07,4.65,1.43,-13.0,True,4.299999999999999,SP1
507,2025-2026,2025-11-23,Betis,Girona,5.0,18.0,1,1,draw,5.46,4.35,1.53,-13.0,False,-10.0,SP1
510,2025-2026,2025-11-24,Espanol,Sevilla,6.0,9.0,2,1,home,3.59,3.29,2.07,-3.0,True,10.7,SP1
511,2025-2026,2025-11-28,Getafe,Elche,7.0,10.0,1,0,home,3.84,2.91,2.19,-3.0,True,11.899999999999999,SP1
512,2025-2026,2025-11-29,Mallorca,Osasuna,16.0,17.0,2,2,draw,3.3,3.03,2.34,-1.0,False,-10.0,SP1
513,2025-2026,2025-11-29,Barcelona,Alaves,2.0,14.0,3,1,home,12.97,7.14,1.19,-12.0,True,1.8999999999999995,SP1
